Time,Temperature,Humidity
0,21.13,42.535
1,20.74,41.481
2,20.71,45.41
5,21.12,43.79
9,20.73,45.41
14,20.74,41.441
19,21.14,42.535
26,21.11,43.79
34,20.74,41.441
42,20.71,45.41
51,21.14,42.575
62,21.12,43.79
75,21.14,42.575
88,20.74,41.441
101,20.72,45.41
116,21.12,43.79
132,21.14,42.575
149,20.72,45.41
166,20.74,41.441
185,21.12,43.79
206,20.74,41.481
227,20.72,45.41
248,21.13,42.575
271,21.12,43.79
296,21.14,42.575
321,20.71,45.41
346,20.73,41.441
374,21.12,43.79
403,20.72,45.41
432,21.14,42.535
461,20.74,41.441
492,21.12,43.79
525,20.72,45.41
558,20.74,41.441
591,21.13,42.575
626,21.12,43.79
663,20.72,45.41
700,20.74,41.441
737,21.14,42.615
777,21.12,43.749
817,20.74,41.441
858,20.72,45.41
899,21.13,42.575
942,21.11,43.749
987,21.13,42.575
1032,20.72,45.41
1077,20.74,41.441
1124,21.12,43.79
1172,21.13,42.575
1221,20.74,41.441
1270,20.72,45.41
1321,21.11,43.749
1373,20.71,45.41
1426,20.74,41.441
1479,21.12,42.575
1534,21.11,43.709
1591,20.72,45.41
1648,20.74,41.441
1705,21.13,42.575
1764,21.11,43.709
1825,20.74,41.441
1886,20.72,45.41
1947,21.13,42.535
2010,21.12,43.709
2074,20.72,45.41
2138,21.13,42.494
2202,20.74,41.441
2270,21.11,43.709
2338,20.72,45.41
2407,21.14,42.494
2476,20.74,41.401
2547,21.12,43.749
2619,20.71,45.41
2691,20.73,41.401
2764,21.14,42.494
2839,21.11,43.709
2915,21.14,42.453
2992,20.72,45.41
3069,20.75,41.401
3148,21.12,43.749
3229,20.74,41.401
3310,20.7,45.41
3391,21.14,42.494
3475,21.12,43.709
3560,20.71,45.41
3645,20.74,41.441
3731,21.14,42.453
3818,21.12,43.709
3906,21.13,42.413
3995,20.71,45.41
4084,20.74,41.36
4176,21.11,43.709
4269,21.14,42.413
4362,20.74,41.36
4455,20.71,45.41
4550,21.11,43.709
4646,20.74,41.36
4743,21.14,42.453
4841,20.72,45.41
4940,21.12,43.709
5040,21.14,42.494
5141,20.72,45.41
5242,20.74,41.36
5345,21.12,43.709
5449,20.72,45.41
5554,21.14,42.535
5659,20.74,41.36
5766,21.12,43.709
5874,20.74,41.401
5983,21.14,42.494
6092,20.72,45.41
6203,21.12,43.709
6316,21.14,42.494
6429,20.73,41.36
6542,20.71,45.41
6657,21.12,43.709
6774,20.71,45.41
6891,21.14,42.494
7008,20.74,41.36
7127,21.12,43.709
7248,21.14,42.494
7369,20.74,41.36
7490,20.7,45.41
7614,21.12,43.709
7738,21.13,42.535
7863,20.73,41.441
7988,20.72,45.41
8115,21.12,43.709
8243,20.7,45.37
8372,21.14,42.535
8501,20.74,41.441
8632,21.12,43.709
8765,21.14,42.494
8898,20.72,45.37
9031,20.73,41.441
9166,21.12,43.709
9302,21.14,42.494
9438,20.72,45.37
9575,20.74,41.441
9715,21.11,43.709
9856,21.14,42.413
9997,20.71,45.37
10138,20.74,41.401
10281,21.1,43.709
10426,20.71,45.37
10571,21.14,42.413
