Time,Temperature,Humidity
3,21.34,60.597
6,21.67,45.694
9,21.46,48.569
15,21.35,60.597
21,21.46,48.569
28,21.66,45.734
38,21.66,45.694
48,21.34,60.597
59,21.46,48.488
73,21.67,45.694
87,21.46,48.488
102,21.34,60.597
120,21.46,48.488
139,21.35,60.557
158,21.66,45.694
180,21.34,60.597
203,21.46,48.488
226,21.66,45.694
253,21.34,60.597
280,21.66,45.653
307,21.46,48.488
337,21.36,60.597
368,21.66,45.653
399,21.47,48.488
433,21.66,45.653
467,21.34,60.597
501,21.47,48.488
540,21.35,60.597
579,21.46,48.609
618,21.66,45.653
660,21.35,60.597
703,21.65,45.653
746,21.46,48.812
793,21.66,45.653
840,21.47,48.893
887,21.36,60.597
937,21.35,60.597
987,21.47,48.974
1038,21.66,45.653
1092,21.66,45.653
1147,21.34,60.597
1202,21.47,48.934
1260,21.36,60.597
1319,21.66,45.653
1378,21.47,48.934
1440,21.36,60.597
1503,21.46,48.893
1569,21.35,60.597
1636,21.66,45.653
1703,21.66,45.653
1770,21.47,48.974
1840,21.46,48.974
1911,21.66,45.653
1982,21.34,60.597
2056,21.35,60.557
2130,21.47,48.893
2205,21.66,45.653
2283,21.66,45.653
2362,21.47,48.852
2441,21.34,60.557
2524,21.47,48.772
2607,21.66,45.653
2690,21.36,60.597
2776,21.45,48.65
2862,21.36,60.557
2949,21.66,45.653
3039,21.47,48.569
3130,21.66,45.653
3221,21.35,60.557
3315,21.66,45.653
3409,21.48,48.529
3504,21.36,60.557
3602,21.35,60.557
3700,21.47,48.529
3799,21.65,45.653
3901,21.48,48.569
4004,21.36,60.557
4107,21.64,45.653
4213,21.46,48.65
4319,21.36,60.557
4426,21.66,45.653
4536,21.46,48.569
4646,21.65,45.653
4757,21.35,60.557
4872,21.66,45.653
4987,21.35,60.557
5102,21.46,48.609
5220,21.66,45.653
5338,21.36,60.557
5457,21.48,48.569
5579,21.66,45.653
5702,21.35,60.597
5825,21.48,48.609
5951,21.34,60.557
6077,21.64,45.653
6203,21.47,48.65
6333,21.36,60.557
6464,21.46,48.65
6595,21.65,45.694
6729,21.66,45.653
6864,21.35,60.597
6999,21.47,48.609
7138,21.47,48.65
7277,21.35,60.597
7416,21.66,45.653
7558,21.66,45.653
7700,21.48,48.569
7843,21.36,60.557
7989,21.66,45.653
8136,21.48,48.569
8283,21.35,60.557
8433,21.66,45.653
8583,21.36,60.557
8734,21.48,48.529
8888,21.36,60.557
9043,21.47,48.488
9198,21.65,45.653
9356,21.66,45.653
9514,21.36,60.557
9672,21.47,48.488
9834,21.66,45.653
9996,21.48,48.569
10159,21.36,60.557
10325,21.66,45.653
10491,21.48,48.609
10658,21.35,60.557
10828,21.35,60.557
10998,21.48,48.569
11169,21.66,45.653
11343,21.47,48.569
11518,21.35,60.557
11693,21.65,45.653
11871,21.36,60.557
12050,21.48,48.609
12229,21.66,45.653
12412,21.48,48.65
12595,21.66,45.694
12778,21.34,60.557
12964,21.66,45.653
13150,21.37,60.557
13337,21.49,48.65
13527,21.36,60.557
13717,21.48,48.65
13908,21.66,45.653
14102,21.66,45.653
14297,21.34,60.557
14492,21.47,48.569
14690,21.66,45.653
14889,21.36,60.597
15088,21.48,48.65
15290,21.48,48.731
15492,21.66,45.653
15695,21.35,60.557
15901,21.66,45.653
16107,21.48,48.772
16314,21.37,60.557
16524,21.36,60.557
16735,21.66,45.653
16946,21.48,48.691
17160,21.66,45.653
17374,21.48,48.609
17588,21.36,60.557
17806,21.36,60.597
18024,21.48,48.569
18243,21.66,45.653
18466,21.36,60.557
18689,21.48,48.569
18912,21.66,45.653
19138,21.66,45.653
19365,21.36,60.557
19592,21.48,48.691
19822,21.48,48.691
20053,21.35,60.557
20284,21.66,45.653
20519,21.67,45.653
20754,21.48,48.893
20989,21.36,60.557
21228,21.48,48.893
21467,21.37,60.557
21706,21.67,45.653
21948,21.48,48.893
22191,21.38,60.557
22434,21.67,45.653
22681,21.36,60.557
22928,21.48,48.772
23175,21.66,45.653
23425,21.48,48.731
23675,21.66,45.653
23926,21.36,60.557
24180,21.48,48.691
24434,21.66,45.653
24689,21.36,60.557
24947,21.37,60.557
25205,21.66,45.653
25464,21.48,48.731
25726,21.66,45.653
25989,21.37,60.557
26252,21.48,48.731
26518,21.48,48.731
26784,21.36,60.557
27051,21.65,45.653
27321,21.37,60.557
27591,21.48,48.772
27862,21.66,45.653
28136,21.38,60.557
28410,21.48,48.812
28685,21.66,45.694
28963,21.48,48.812
29241,21.36,60.557
29520,21.66,45.694
29802,21.49,48.812
30084,21.67,45.653
30367,21.35,60.557
30654,21.48,48.812
30941,21.36,60.557
31228,21.65,45.653
31519,21.66,45.653
31810,21.48,48.731
32101,21.37,60.557
32395,21.66,45.653
32689,21.48,48.569
32984,21.38,60.557
33282,21.48,48.569
33580,21.66,45.653
33879,21.36,60.557
34181,21.36,60.557
34484,21.66,45.653
34787,21.49,48.691
35093,21.37,60.557
35400,21.48,48.812
35707,21.66,45.653
36017,21.48,48.812
36327,21.38,60.557
36638,21.66,45.653
36952,21.66,45.653
37266,21.48,48.691
37581,21.37,60.557
37900,21.48,48.609
38219,21.66,45.653
38538,21.37,60.557
38860,21.66,45.653
39182,21.38,60.517
39504,21.48,48.529
39830,21.36,60.557
40157,21.66,45.653
40484,21.49,48.529
40814,21.48,48.569
41144,21.37,60.557
41475,21.67,45.653
41809,21.36,60.557
42144,21.48,48.569
42479,21.66,45.653
42818,21.36,60.557
43157,21.67,45.653
43496,21.49,48.569
43838,21.49,48.569
44181,21.67,45.653
44524,21.37,60.557
44870,21.36,60.557
45216,21.49,48.731
45563,21.66,45.694
45913,21.66,45.653
46264,21.48,48.731
46615,21.36,60.557
46969,21.36,60.557
47324,21.48,48.731
47679,21.66,45.653
48038,21.66,45.653
48397,21.36,60.517
48756,21.49,48.731
49118,21.49,48.731
49481,21.66,45.653
49844,21.37,60.517
50210,21.36,60.517
50576,21.66,45.653
50942,21.48,48.731
51312,21.66,45.653
51683,21.37,60.557
52054,21.48,48.731
52428,21.49,48.731
52803,21.37,60.557
53178,21.66,45.653
53556,21.66,45.653
53935,21.49,48.731
54314,21.37,60.557
54696,21.38,60.557
55079,21.66,45.694
55462,21.49,48.812
55848,21.48,48.812
56234,21.66,45.653
56621,21.37,60.557
57011,21.48,48.772
57402,21.66,45.653
57793,21.37,60.557
58187,21.37,60.517
58581,21.66,45.653
58976,21.5,48.772
59374,21.5,48.772
59772,21.66,45.653
60170,21.38,60.517
60572,21.48,48.569
60974,21.66,45.653
61376,21.37,60.557
61782,21.5,48.488
62189,21.38,60.517
62596,21.67,45.653
63007,21.38,60.557
63418,21.67,45.653
63829,21.49,48.731
64243,21.37,60.517
64658,21.48,48.731
65073,21.67,45.653
65491,21.36,60.517
65910,21.49,48.731
66329,21.67,45.653
66751,21.5,48.731
67173,21.67,45.612
67596,21.37,60.557
68022,21.38,60.517
68449,21.67,45.653
68876,21.49,48.731
69306,21.66,45.653
69737,21.5,48.691
70168,21.38,60.517
70602,21.66,45.612
71036,21.49,48.65
71471,21.38,60.517
71909,21.48,48.691
72347,21.38,60.517
72786,21.66,45.653
73228,21.66,45.612
73670,21.5,48.812
74113,21.38,60.517
74559,21.66,45.612
75005,21.38,60.517
75452,21.48,48.812
75902,21.66,45.653
76352,21.49,48.731
76803,21.38,60.517
77258,21.49,48.731
77713,21.66,45.653
78168,21.38,60.517
78626,21.49,48.772
79084,21.38,60.517
79543,21.66,45.653
80005,21.67,45.653
80467,21.37,60.517
80930,21.49,48.772
81396,21.66,45.612
81862,21.49,48.731
82329,21.36,60.517
82800,21.5,48.569
83271,21.38,60.557
83742,21.66,45.612
84217,21.48,48.569
84692,21.66,45.572
85167,21.38,60.517
85645,21.67,45.612
86124,21.37,60.557
86603,21.49,48.529
87085,21.5,48.488
87568,21.67,45.653
88051,21.38,60.557
88537,21.67,45.612
89024,21.37,60.517
89511,21.48,48.488
90001,21.38,60.517
90491,21.67,45.612
90982,21.5,48.447
91477,21.51,48.488
91972,21.37,60.517
92467,21.67,45.653
92966,21.67,45.653
93465,21.38,60.517
93964,21.49,48.488
94466,21.37,60.517
94968,21.49,48.488
95471,21.67,45.612
95977,21.67,45.653
96484,21.37,60.517
96991,21.49,48.529
97501,21.67,45.653
98012,21.5,48.569
98523,21.36,60.517
99038,21.67,45.612
99553,21.38,60.517
100068,21.49,48.609
100586,21.38,60.517
101105,21.66,45.653
101624,21.49,48.569
102147,21.66,45.653
102670,21.37,60.517
103193,21.5,48.569
103720,21.48,48.65
104247,21.37,60.517
104774,21.67,45.612
105304,21.38,60.517
105835,21.66,45.612
106366,21.5,48.65
106900,21.36,60.517
107435,21.49,48.569
107970,21.67,45.653
108508,21.38,60.517
109046,21.68,45.653
109585,21.49,48.488
110127,21.67,45.653
110669,21.38,60.517
111211,21.5,48.569
111757,21.66,45.653
112303,21.36,60.517
112850,21.49,48.569
113400,21.49,48.447
113950,21.66,45.653
114501,21.38,60.517
115055,21.67,45.653
115609,21.49,48.407
116163,21.38,60.517
116721,21.67,45.653
117279,21.38,60.476
117838,21.5,48.407
118400,21.38,60.517
118962,21.5,48.407
119525,21.68,45.653
120091,21.5,48.407
120657,21.38,60.517
121224,21.68,45.653
121794,21.67,45.653
122364,21.49,48.407
122935,21.38,60.517
123509,21.5,48.407
124083,21.38,60.517
124657,21.68,45.653
125235,21.5,48.367
125813,21.67,45.653
126392,21.4,60.517
126974,21.39,60.517
127556,21.67,45.653
128139,21.5,48.407
128725,21.5,48.407
129312,21.68,45.653
129899,21.38,60.517
130489,21.38,60.476
131079,21.67,45.653
131670,21.5,48.407
132264,21.68,45.653
132859,21.51,48.407
133454,21.38,60.517
134052,21.67,45.653
134651,21.38,60.476
135250,21.51,48.447
135852,21.38,60.476
136455,21.68,45.653
137058,21.5,48.488
137664,21.51,48.488
138271,21.67,45.653
138878,21.39,60.476
139488,21.39,60.517
140098,21.68,45.653
140709,21.5,48.488
141323,21.39,60.517
141938,21.5,48.529
142553,21.68,45.653
143171,21.68,45.653
143789,21.39,60.517
144408,21.51,48.529
145030,21.39,60.517
145653,21.68,45.653
146276,21.5,48.488
146902,21.68,45.653
147528,21.38,60.517
148154,21.49,48.407
148784,21.38,60.517
149415,21.51,48.407
150046,21.67,45.653
150680,21.52,48.367
151315,21.39,60.517
151950,21.68,45.653
152588,21.38,60.517
153226,21.68,45.612
153865,21.51,48.407
154507,21.51,48.407
155150,21.68,45.653
155793,21.39,60.517
156439,21.38,60.476
157085,21.52,48.326
157732,21.68,45.653
158382,21.38,60.517
159032,21.52,48.326
159683,21.68,45.612
160337,21.52,48.407
160991,21.68,45.612
161646,21.39,60.517
162304,21.38,60.476
162962,21.51,48.407
163620,21.68,45.612
164282,21.52,48.407
164945,21.38,60.476
165608,21.68,45.653
166274,21.39,60.476
166941,21.51,48.447
167608,21.68,45.653
168279,21.51,48.407
168950,21.67,45.612
169621,21.4,60.476
170295,21.52,48.407
170969,21.68,45.612
171644,21.38,60.476
172322,21.39,60.476
173001,21.68,45.653
173680,21.52,48.367
174363,21.69,45.612
175046,21.39,60.476
175729,21.52,48.367
176415,21.69,45.612
177101,21.38,60.476
177788,21.52,48.326
178478,21.68,45.612
179169,21.52,48.367
179860,21.4,60.476
180554,21.7,45.612
181248,21.52,48.367
181943,21.4,60.476
182641,21.69,45.612
183339,21.53,48.367
184038,21.4,60.476
184740,21.52,48.326
185443,21.4,60.476
186146,21.69,45.612
186853,21.51,48.367
187560,21.69,45.612
188267,21.39,60.476
188977,21.52,48.367
189688,21.4,60.476
190399,21.69,45.612
191113,21.51,48.407
191827,21.39,60.476
192542,21.69,45.612
193260,21.52,48.407
193979,21.69,45.612
194698,21.4,60.476
195420,21.69,45.572
196142,21.4,60.476
196864,21.52,48.407
197590,21.69,45.612
198316,21.39,60.476
199043,21.52,48.367
199773,21.52,48.367
200503,21.4,60.476
201234,21.7,45.653
201969,21.69,45.612
202704,21.4,60.476
203439,21.52,48.367
204177,21.52,48.326
204915,21.7,45.653
205654,21.4,60.476
206397,21.69,45.612
207140,21.53,48.326
207883,21.39,60.476
208630,21.68,45.612
209377,21.39,60.476
210124,21.52,48.367
210874,21.4,60.476
211624,21.69,45.653
212375,21.52,48.367
213129,21.69,45.612
213883,21.52,48.367
214637,21.4,60.476
215396,21.53,48.326
216155,21.7,45.653
216914,21.39,60.476
217677,21.69,45.612
218440,21.53,48.326
219203,21.39,60.476
219969,21.52,48.407
220735,21.4,60.476
221502,21.69,45.612
222272,21.52,48.447
223043,21.41,60.476
223814,21.7,45.612
224588,21.69,45.612
225362,21.4,60.476
226137,21.53,48.488
226915,21.7,45.612
227693,21.52,48.447
228472,21.4,60.476
229254,21.4,60.476
230036,21.7,45.612
230819,21.52,48.447
231605,21.52,48.407
232392,21.38,60.476
233179,21.69,45.612
233969,21.7,45.612
234760,21.4,60.476
235551,21.52,48.407
236345,21.52,48.407
237140,21.4,60.476
237935,21.68,45.612
238734,21.7,45.612
239533,21.39,60.476
240332,21.52,48.447
241135,21.52,48.367
241938,21.7,45.612
242741,21.4,60.476
243547,21.4,60.476
244354,21.7,45.612
245161,21.52,48.326
245971,21.52,48.326
246781,21.4,60.476
247592,21.7,45.612
248406,21.7,45.612
249220,21.4,60.476
250034,21.52,48.326
250852,21.52,48.367
251670,21.7,45.612
252489,21.4,60.476
253311,21.4,60.476
254134,21.69,45.612
254957,21.52,48.367
255783,21.52,48.367
256609,21.7,45.612
257436,21.4,60.476
258266,21.52,48.367
259097,21.7,45.612
259928,21.4,60.476
260762,21.51,48.326
261596,21.69,45.612
262431,21.4,60.476
263270,21.69,45.612
264109,21.53,48.326
264948,21.41,60.476
265790,21.69,45.612
266633,21.4,60.476
267476,21.52,48.326
268322,21.7,45.612
269169,21.4,60.476
270016,21.52,48.285
270866,21.53,48.326
271716,21.68,45.612
272567,21.4,60.476
273422,21.41,60.476
274277,21.54,48.407
275132,21.69,45.612
275990,21.39,60.476
276849,21.52,48.326
277708,21.68,45.612
278570,21.4,60.476
279432,21.52,48.326
280295,21.7,45.612
281161,21.4,60.476
282027,21.7,45.612
282894,21.53,48.326
283764,21.7,45.612
284634,21.4,60.476
285505,21.54,48.326
286379,21.53,48.407
287253,21.41,60.476
288127,21.7,45.612
289005,21.4,60.476
289884,21.52,48.407
290763,21.69,45.612
291645,21.7,45.572
292528,21.52,48.367
293411,21.41,60.476
294297,21.7,45.612
295183,21.53,48.367
296070,21.41,60.476
296960,21.53,48.367
297850,21.7,45.612
298741,21.4,60.476
299635,21.7,45.612
300530,21.41,60.476
301425,21.53,48.407
302323,21.42,60.476
303222,21.7,45.572
304121,21.52,48.407
305023,21.52,48.326
305925,21.42,60.476
306827,21.71,45.572
307734,21.52,48.326
308641,21.41,60.476
309548,21.7,45.612
310458,21.53,48.367
311369,21.4,60.476
312280,21.7,45.572
313195,21.42,60.476
314110,21.52,48.447
315025,21.7,45.612
315943,21.52,48.367
316862,21.7,45.612
317781,21.42,60.476
318703,21.52,48.407
319625,21.69,45.612
320547,21.42,60.476
321473,21.7,45.612
322400,21.53,48.407
323327,21.41,60.476
324257,21.7,45.612
325188,21.53,48.367
326119,21.41,60.476
327054,21.7,45.612
327989,21.53,48.326
328924,21.41,60.476
329862,21.7,45.612
330801,21.4,60.476
331740,21.53,48.367
332682,21.54,48.407
333625,21.42,60.476
334568,21.7,45.612
335514,21.53,48.407
336461,21.7,45.572
337408,21.4,60.476
338358,21.7,45.572
339309,21.54,48.407
340261,21.4,60.476
341215,21.41,60.476
342169,21.53,48.407
343124,21.69,45.572
344082,21.41,60.476
345040,21.7,45.612
345999,21.52,48.367
346961,21.53,48.407
347924,21.7,45.572
348887,21.4,60.476
349853,21.41,60.476
350819,21.52,48.488
351786,21.71,45.572
352756,21.53,48.488
353727,21.38,60.476
354698,21.7,45.572
355673,21.52,48.529
356648,21.41,60.476
357623,21.69,45.572
358601,21.4,60.476
359579,21.7,45.572
360558,21.53,48.569
361540,21.53,48.609
362523,21.7,45.572
363506,21.4,60.476
364492,21.71,45.572
365478,21.53,48.691
366465,21.42,60.476
