Time,Temperature,Humidity
1,22.03,41.603
2,22.11,35.204
3,22,37.958
5,22.12,50.351
7,22.31,40.267
12,22.31,40.307
17,22.03,41.603
22,22.01,37.958
27,22.12,50.351
32,22.11,35.245
41,22.1,35.245
50,22.12,50.351
59,22.04,41.563
68,22.32,40.307
78,22,37.958
91,22.12,50.351
104,22,37.958
118,22.02,41.603
132,22.1,35.245
146,22.31,40.307
163,22.03,41.563
180,21.99,37.958
198,22.11,35.285
216,22.12,50.351
234,22.3,40.307
255,22.02,41.563
276,22.31,40.307
298,22.1,35.285
320,22,37.958
342,22.12,50.351
367,22.1,35.285
392,22.3,40.307
417,22.02,41.603
443,21.99,37.999
469,22.11,50.351
498,22.11,35.285
527,22.03,41.563
556,22.29,40.307
586,22.1,50.351
616,21.99,37.999
649,22.03,41.603
682,22.31,40.307
715,22.1,35.285
748,22.11,50.351
782,21.99,37.999
819,22.29,40.307
856,22.03,41.603
894,21.99,37.999
932,22.11,50.351
970,22.11,35.285
1011,22.1,35.285
1052,22,37.999
1093,22.3,40.347
1134,22.12,50.351
1176,22.02,41.603
1221,22.03,41.603
1266,22.1,50.31
1311,22,37.999
1356,22.1,35.285
1402,22.3,40.388
1451,22.1,35.245
1500,22.3,40.347
1549,22.02,41.603
1598,22.1,50.31
1648,21.98,37.999
1701,22.09,35.204
1755,22.3,40.347
1809,22.01,41.603
1863,21.99,37.999
1917,22.12,50.351
1974,22.29,40.388
2031,22.02,41.603
2088,22.1,35.285
2145,22.1,50.351
2203,21.99,37.999
2264,22.1,35.285
2325,21.99,37.999
2387,22.12,50.351
2449,22.02,41.603
2511,22.28,40.307
2576,22.1,35.285
2641,22,37.999
2706,22.28,40.307
2771,22.11,50.351
2837,22.02,41.603
2906,22.1,35.285
2975,22.29,40.388
3045,21.98,38.039
3115,22.1,50.351
3185,22,41.603
3258,21.98,37.999
3331,22.1,50.351
3404,22.28,40.388
3478,22.1,35.285
3552,22.02,41.563
3629,22.01,41.522
3706,21.98,37.999
3784,22.09,35.285
3862,22.28,40.388
3940,22.1,50.351
4021,22.11,50.351
4102,22.1,35.325
4184,21.99,41.563
4266,21.97,38.039
4348,22.28,40.388
4433,22.1,50.351
4519,22,41.563
4605,22.1,35.325
4691,22.28,40.347
4777,21.98,38.039
4866,22,41.563
4955,21.98,38.039
5044,22.28,40.307
5133,22.1,50.351
5222,22.1,35.325
5315,22.11,50.351
5408,22,41.563
5501,21.97,38.039
5594,22.26,40.347
5688,22.09,35.325
5785,21.97,37.999
5882,22.01,41.563
5980,22.27,40.388
6078,22.1,35.325
6176,22.1,50.351
6277,22.28,40.307
6378,22.1,50.392
6480,22.09,35.325
6582,22,41.563
6684,21.98,37.999
6789,21.98,37.999
6895,22,41.563
7001,22.09,35.285
7107,22.26,40.307
7213,22.11,50.392
7322,21.98,37.999
7431,22.28,40.307
7541,22.1,50.432
7651,22.09,35.325
7761,22,41.563
7874,22,41.522
7987,22.09,35.325
8100,22.1,50.392
8214,21.98,38.039
8328,22.27,40.307
8445,22.08,35.325
8562,22.27,40.307
8679,22.1,50.432
8797,22,41.563
8915,21.98,38.039
9036,22.26,40.307
9157,22,41.563
9278,22.09,35.325
9400,22.11,50.392
9522,21.98,38.039
9647,21.98,37.999
9772,22.26,40.347
9897,22,41.603
10023,22.08,35.325
10149,22.1,50.351
10278,22,41.563
10407,21.97,37.999
10536,22.25,40.307
10666,22.09,35.325
10796,22.1,50.351
10929,21.98,37.999
11062,22,41.603
11196,22.26,40.307
11330,22.09,50.351
11464,22.08,35.325
11601,21.97,37.999
11739,22.1,50.351
11877,22.24,40.307
12015,21.99,41.603
12153,22.09,35.325
12294,22.1,50.351
12435,21.98,37.999
12576,21.99,41.603
12718,22.25,40.347
12863,22.08,35.366
13008,22.09,50.392
13153,22.24,40.307
13298,22.09,35.366
13444,21.99,41.603
13590,21.96,38.039
13739,21.98,41.603
13888,22.08,35.325
14037,22.09,50.351
14186,22.25,40.307
14336,21.96,38.039
14489,21.98,41.603
14643,22.09,50.351
14797,21.96,38.039
14951,22.24,40.307
15105,22.08,35.366
15262,22.25,40.307
15419,21.99,41.603
15576,22.08,50.351
15733,21.96,38.039
15891,22.07,35.366
16052,21.98,41.603
16213,22.09,50.351
16374,22.08,35.366
16535,22.24,40.388
16697,21.97,38.039
16862,22.08,35.366
17027,21.97,38.039
17193,21.97,41.644
17359,22.09,50.351
17525,22.24,40.388
17694,22.25,40.388
17864,21.97,38.039
18034,21.98,41.644
18204,22.08,50.351
18374,22.08,35.366
18547,22.08,35.366
18720,22.24,40.388
18894,21.97,38.039
19068,22.09,50.351
19242,21.97,41.603
19419,21.96,38.039
19597,21.97,41.603
19775,22.09,50.351
19953,22.07,35.366
20131,22.24,40.388
20312,21.97,41.603
20493,22.08,50.351
20674,22.07,35.325
20856,22.24,40.388
21038,21.97,38.039
21223,21.97,41.603
21408,21.97,38.039
21594,22.24,40.388
21780,22.06,35.366
21966,22.08,50.351
22155,22.08,50.351
22344,21.96,38.039
22533,22.24,40.388
22723,21.97,41.603
22913,22.06,35.366
23106,22.07,35.325
23299,21.98,41.603
23492,22.08,50.351
23686,21.96,38.039
23880,22.23,40.388
24077,22.24,40.388
24274,21.96,38.039
24471,21.98,41.603
24668,22.06,35.325
24866,22.08,50.351
25067,22.06,35.325
25268,21.96,38.039
25469,22.08,50.351
25670,21.97,41.603
25872,22.24,40.388
26077,22.24,40.388
26282,21.97,41.603
26487,21.96,38.039
26692,22.08,50.351
26898,22.07,35.325
27107,22.06,35.285
27316,22.23,40.388
27525,22.08,50.351
27735,21.95,38.039
27945,21.97,41.603
28158,21.97,41.603
28371,21.96,38.039
28585,22.23,40.429
28799,22.07,35.325
29013,22.08,50.351
29230,22.23,40.388
29447,22.08,50.351
29664,21.95,38.039
29882,22.06,35.163
30100,21.97,41.603
30321,22.06,35.083
30543,21.96,38.039
30765,21.98,41.603
30987,22.22,40.388
31209,22.08,50.392
31434,22.23,40.429
31659,22.06,35.123
31884,21.94,38.039
32109,21.98,41.603
32335,22.07,50.432
32564,21.95,38.039
32793,22.08,50.432
33022,21.97,41.603
33252,22.05,35.042
33482,22.22,40.429
33715,22.08,50.392
33949,22.23,40.429
34183,21.96,41.603
34417,21.95,38.039
34651,22.06,35.002
34888,22.08,50.392
35125,21.95,38.039
35362,22.22,40.429
35600,21.97,41.603
35838,22.06,35.042
36079,21.96,38.039
36320,22.06,35.083
36561,21.97,41.603
36803,22.22,40.429
37045,22.08,50.432
37290,21.95,38.039
37535,22.22,40.429
37781,22.06,35.042
38027,21.96,41.603
38273,22.08,50.351
38522,22.07,50.351
38771,22.06,35.042
39021,21.95,38.039
39271,21.96,41.603
39521,22.22,40.429
39774,21.96,41.603
40027,22.21,40.429
40280,22.06,35.042
40534,21.96,38.039
40788,22.08,50.351
41045,22.06,35.042
41303,21.94,38.039
41561,21.96,41.603
41819,22.22,40.429
42077,22.07,50.392
42338,22.22,40.388
42599,21.95,38.039
42860,22.07,35.123
43121,22.06,50.351
43383,21.96,41.603
43648,21.96,41.603
43913,22.06,35.123
44179,22.07,50.351
44445,22.2,40.347
44711,21.95,38.039
44980,22.07,50.351
45249,22.21,40.226
45519,21.95,38.039
45789,22.06,35.163
46059,21.95,41.603
46332,21.95,41.603
46605,22.06,50.351
46878,22.06,35.204
47152,22.21,40.307
47426,21.95,38.039
47703,21.96,41.603
47980,22.21,40.388
48257,22.06,35.204
48535,22.08,50.392
48813,21.94,38.039
49094,21.95,38.039
49375,22.06,35.123
49656,22.06,50.392
